Index,X1_t,X2_t,x1_bin,x2_bin
24376,0.9408551519661972,0.6543818029388407,41,34
196538,0.5093108990260556,0.1383013547936179,9,4
133901,0.433225803707868,0.095709843623781,3,2
197673,0.8701833858072977,0.5572254965312479,36,29
43142,0.7554704363242397,0.3745528231704787,27,18
138241,1.0216329426304993,0.8427500532180341,48,45
414335,0.9734261350487708,0.7714817452592366,44,41
405169,0.5657247461499032,0.1875278726609566,13,7
405418,0.7276540548944936,0.3593402376776538,25,17
170446,0.9750116991062407,0.7434598740153863,44,40
399181,0.6855575736968885,0.3043753791052194,22,14
204159,0.6703077029760616,0.304567779197072,21,14
172478,0.6498251788625106,0.2534458040754618,19,11
196833,0.6550468430595598,0.2322601030008105,20,10
196282,0.4858729805725604,0.1276129439983138,7,4
331863,1.043235333721947,0.9017043231546732,49,49
417219,0.9474204410047058,0.7151846478816415,42,38
283263,0.5065159320860168,0.1340884232777705,9,4
222276,0.8134343910809395,0.5337044079455766,32,27
24234,0.9501893341061326,0.6745887448110991,42,36
240149,0.7764825922823686,0.4798824955398738,29,24
284074,0.7945093888079514,0.4058041668668968,30,20
385275,0.8069716446484027,0.4849459607075193,31,24
434910,0.8173618846698302,0.4595880789539178,32,23
221602,0.4439021484090583,0.1020933649872615,4,2
43010,0.6201532136184488,0.2188752453635082,17,9
18655,0.9732309354095549,0.728639820200568,44,39
252889,0.6784894068610513,0.2985919097424871,22,14
416989,0.9298719872870876,0.6815861958330838,41,36
204525,1.0031365380468638,0.8318019219723438,46,45
170887,0.3915770874822966,0.0747618906486741,0,1
221578,0.406586858174965,0.0796270315268642,1,1
385183,0.7452405246516477,0.3910504778771545,27,19
213175,1.0356767316948403,0.8814928526141901,49,48
35792,0.9136677611672752,0.603116697217658,39,31
468306,1.0223055908367833,0.8264229467099959,48,44
182131,0.9846601458009934,0.732951679146166,45,39
27966,0.9308647657264592,0.635814945254111,41,33
169444,0.8574637052292825,0.4882452492467044,35,25
197822,0.945823238662545,0.7015776518240924,42,37
24019,0.9608233324150268,0.6985408833209984,43,37
197085,0.7063107180822793,0.301868435330798,24,14
204057,0.6132008785407058,0.2400186269840353,17,10
204303,0.797834149003529,0.4713126613267085,31,24
196352,0.4964541153177257,0.1323685364372305,8,4
223923,0.9917809160529452,0.844631201033764,45,45
416273,0.5902479105604321,0.1869556100166344,15,7
252476,0.9925104692319994,0.7471307438995174,45,40
222306,0.8104037165675916,0.5296625580274613,32,27
43081,0.658963035532412,0.2525703204350714,20,11
385326,0.8256977000311676,0.5111318708421831,33,26
